replicate	phylum	relab	cpr
HD0025A-1	Acidobacteriota	5.592618803391618e-4	0.004602276026153992
HD0025A-1	Atribacterota	0.003763752938775402	0.004602276026153992
HD0025A-1	Campylobacterota	0.8950018951291205	0.004602276026153992
HD0025A-1	Chloroflexota	0.018596120153836774	0.004602276026153992
HD0025A-1	Nanobdellota	0.009586967872922979	0.004602276026153992
HD0025A-1	Omnitrophota	0.006901980741247286	0.004602276026153992
HD0025A-1	Pseudomonadota	0.0631647861154624	0.004602276026153992
HD0025A-1	Spirochaetota	0.0024252351682954175	0.004602276026153992
KA1755A-3	Acidobacteriota	0.005406205075593605	0.015640438623628985
KA1755A-3	Atribacterota	0.02113919450438832	0.015640438623628985
KA1755A-3	Campylobacterota	0.7222123953572887	0.015640438623628985
KA1755A-3	Chloroflexota	0.035141941023802095	0.015640438623628985
KA1755A-3	Nanobdellota	0.003978272265621231	0.015640438623628985
KA1755A-3	Omnitrophota	0.011822254525807313	0.015640438623628985
KA1755A-3	Pseudomonadota	0.18282042458488643	0.015640438623628985
KA1755A-3	Spirochaetota	0.01747931266261228	0.015640438623628985
KA2050A-1	Acidobacteriota	0.003194523673702225	0.01630356402930084
KA2050A-1	Atribacterota	0.011409013120365089	0.01630356402930084
KA2050A-1	Campylobacterota	0.0825849564012713	0.01630356402930084
KA2050A-1	Chloroflexota	0.024170809225002036	0.01630356402930084
KA2050A-1	Nanobdellota	0.049482519762040586	0.01630356402930084
KA2050A-1	Omnitrophota	0.043174965365495886	0.01630356402930084
KA2050A-1	Pseudomonadota	0.7620079863091843	0.01630356402930084
KA2050A-1	Spirochaetota	0.023975226142938635	0.01630356402930084
KA2050A-3	Acidobacteriota	0.003969936403931393	0.019418859130231607
KA2050A-3	Atribacterota	0.019502794372711504	0.019418859130231607
KA2050A-3	Campylobacterota	0.317839018436436	0.019418859130231607
KA2050A-3	Chloroflexota	0.057249309436628766	0.019418859130231607
KA2050A-3	Nanobdellota	0.036333269094880195	0.019418859130231607
KA2050A-3	Omnitrophota	0.02996081454358579	0.019418859130231607
KA2050A-3	Pseudomonadota	0.5235947838376052	0.019418859130231607
KA2050A-3	Spirochaetota	0.011550073874221108	0.019418859130231607
KA2051A01-5	Acidobacteriota	0.005461928475104906	0.011523171270858284
KA2051A01-5	Atribacterota	0.020506716288600766	0.011523171270858284
KA2051A01-5	Campylobacterota	0.25766741752488004	0.011523171270858284
KA2051A01-5	Chloroflexota	0.022955166984337447	0.011523171270858284
KA2051A01-5	Nanobdellota	0.02981836262684858	0.011523171270858284
KA2051A01-5	Omnitrophota	0.057391684308067833	0.011523171270858284
KA2051A01-5	Pseudomonadota	0.5799437986394148	0.011523171270858284
KA2051A01-5	Spirochaetota	0.026254925152745655	0.011523171270858284
KA2051A01-9	Acidobacteriota	0.0017852323915886492	0.016560954428649598
KA2051A01-9	Atribacterota	0.009185643410209039	0.016560954428649598
KA2051A01-9	Campylobacterota	0.5253876652896851	0.016560954428649598
KA2051A01-9	Chloroflexota	0.009175264152118407	0.016560954428649598
KA2051A01-9	Nanobdellota	0.012610798580117493	0.016560954428649598
KA2051A01-9	Omnitrophota	0.004867872044506259	0.016560954428649598
KA2051A01-9	Pseudomonadota	0.43023062711477383	0.016560954428649598
KA2051A01-9	Spirochaetota	0.006756897017001225	0.016560954428649598
KA2511A-5-1	Acidobacteriota	5.426625101027595e-4	0.009060199048901095
KA2511A-5-1	Atribacterota	0.0038361621059923795	0.009060199048901095
KA2511A-5-1	Campylobacterota	0.028302159104029556	0.009060199048901095
KA2511A-5-1	Chloroflexota	0.0036369934187738136	0.009060199048901095
KA2511A-5-1	Nanobdellota	0.005449717122734095	0.009060199048901095
KA2511A-5-1	Omnitrophota	0.0028662971943193625	0.009060199048901095
KA2511A-5-1	Pseudomonadota	0.9522168340838241	0.009060199048901095
KA2511A-5-1	Spirochaetota	0.0031491744602239924	0.009060199048901095
KA2862A-1	Acidobacteriota	0.0012508854158817236	0.04936786773529771
KA2862A-1	Atribacterota	0.03609984979327737	0.04936786773529771
KA2862A-1	Campylobacterota	0.12983587780507286	0.04936786773529771
KA2862A-1	Chloroflexota	0.39335573875082264	0.04936786773529771
KA2862A-1	Nanobdellota	0.05180876021682014	0.04936786773529771
KA2862A-1	Omnitrophota	0.012629421427817884	0.04936786773529771
KA2862A-1	Pseudomonadota	0.3733315248242983	0.04936786773529771
KA2862A-1	Spirochaetota	0.0016879417660090727	0.04936786773529771
KA3105A-3	Acidobacteriota	0.005748961992973491	0.007381693031175766
KA3105A-3	Atribacterota	0.011128107717393131	0.007381693031175766
KA3105A-3	Campylobacterota	0.39613205802753454	0.007381693031175766
KA3105A-3	Chloroflexota	0.010186757215619695	0.007381693031175766
KA3105A-3	Nanobdellota	0.016935904116727463	0.007381693031175766
KA3105A-3	Omnitrophota	0.012052648388777757	0.007381693031175766
KA3105A-3	Pseudomonadota	0.5275176923464843	0.007381693031175766
KA3105A-3	Spirochaetota	0.020297870194489736	0.007381693031175766
KA3105A-4	Acidobacteriota	0.0077954615093455415	0.02008760446565714
KA3105A-4	Atribacterota	0.034399163677655414	0.02008760446565714
KA3105A-4	Campylobacterota	0.31899659342838094	0.02008760446565714
KA3105A-4	Chloroflexota	0.03732809430255403	0.02008760446565714
KA3105A-4	Nanobdellota	0.057470124907626034	0.02008760446565714
KA3105A-4	Omnitrophota	0.019556244480092282	0.02008760446565714
KA3105A-4	Pseudomonadota	0.5188262648474252	0.02008760446565714
KA3105A-4	Spirochaetota	0.005628052846920567	0.02008760446565714
KA3110A-1	Acidobacteriota	0.010903730891626481	0.013200316912044539
KA3110A-1	Atribacterota	0.019718474844302142	0.013200316912044539
KA3110A-1	Campylobacterota	0.09611292243415787	0.013200316912044539
KA3110A-1	Chloroflexota	0.02006989320786396	0.013200316912044539
KA3110A-1	Nanobdellota	0.04732433962632514	0.013200316912044539
KA3110A-1	Omnitrophota	0.026063528630835008	0.013200316912044539
KA3110A-1	Pseudomonadota	0.7446847972511275	0.013200316912044539
KA3110A-1	Spirochaetota	0.03512231311376193	0.013200316912044539
KA3385A-1R	Acidobacteriota	0.009208070603057974	0.03088485895346382
KA3385A-1R	Atribacterota	0.016299580220310743	0.03088485895346382
KA3385A-1R	Campylobacterota	0.013179198238456058	0.03088485895346382
KA3385A-1R	Chloroflexota	0.0397407139198474	0.03088485895346382
KA3385A-1R	Nanobdellota	0.01209295205798023	0.03088485895346382
KA3385A-1R	Omnitrophota	0.01873406691747473	0.03088485895346382
KA3385A-1R	Pseudomonadota	0.8583935331555305	0.03088485895346382
KA3385A-1R	Spirochaetota	0.03235188488734243	0.03088485895346382
KA3600F-1	Acidobacteriota	0.00277136621288489	0.009753111544287396
KA3600F-1	Atribacterota	0.0032214842380182246	0.009753111544287396
KA3600F-1	Campylobacterota	0.0020202971825751988	0.009753111544287396
KA3600F-1	Chloroflexota	0.006411564892887612	0.009753111544287396
KA3600F-1	Nanobdellota	0.008984041745829867	0.009753111544287396
KA3600F-1	Omnitrophota	0.0075133072683593195	0.009753111544287396
KA3600F-1	Pseudomonadota	0.9660736623382061	0.009753111544287396
KA3600F-1	Spirochaetota	0.0030042761212387666	0.009753111544287396
KA3600F-2	Acidobacteriota	0.0039590292047825704	0.03333713749199102
KA3600F-2	Atribacterota	0.017414968145286057	0.03333713749199102
KA3600F-2	Campylobacterota	0.09281900334018296	0.03333713749199102
KA3600F-2	Chloroflexota	0.015788513261557748	0.03333713749199102
KA3600F-2	Nanobdellota	0.030632889297926867	0.03333713749199102
KA3600F-2	Omnitrophota	0.023952523385247657	0.03333713749199102
KA3600F-2	Pseudomonadota	0.7872200315770265	0.03333713749199102
KA3600F-2	Spirochaetota	0.028213041787989623	0.03333713749199102
SA1009B-1	Acidobacteriota	0.011862806378253295	0.013824144195506191
SA1009B-1	Atribacterota	0.02404479140345511	0.013824144195506191
SA1009B-1	Campylobacterota	0.12478555184658145	0.013824144195506191
SA1009B-1	Chloroflexota	0.0409479605814371	0.013824144195506191
SA1009B-1	Nanobdellota	0.06144188953758994	0.013824144195506191
SA1009B-1	Omnitrophota	0.07898341600946897	0.013824144195506191
SA1009B-1	Pseudomonadota	0.6287553362680037	0.013824144195506191
SA1009B-1	Spirochaetota	0.02917824797521046	0.013824144195506191
SA1229A-1	Acidobacteriota	0.004516103209968781	0.02679964217517984
SA1229A-1	Atribacterota	0.012207487258852096	0.02679964217517984
SA1229A-1	Campylobacterota	0.015142620807428557	0.02679964217517984
SA1229A-1	Chloroflexota	0.03493475998612482	0.02679964217517984
SA1229A-1	Nanobdellota	0.047475785148224245	0.02679964217517984
SA1229A-1	Omnitrophota	0.09339728366731595	0.02679964217517984
SA1229A-1	Pseudomonadota	0.7475384902740347	0.02679964217517984
SA1229A-1	Spirochaetota	0.044787469648050804	0.02679964217517984
SA1420A-1	Acidobacteriota	0.006806715379262352	0.04732640467055717
SA1420A-1	Atribacterota	0.026835421016005567	0.04732640467055717
SA1420A-1	Campylobacterota	0.024856471816283924	0.04732640467055717
SA1420A-1	Chloroflexota	0.024160577592205985	0.04732640467055717
SA1420A-1	Nanobdellota	0.044515483646485735	0.04732640467055717
SA1420A-1	Omnitrophota	0.052779227557411275	0.04732640467055717
SA1420A-1	Pseudomonadota	0.7974512874043146	0.04732640467055717
SA1420A-1	Spirochaetota	0.022594815588030618	0.04732640467055717
SA1730A-1	Acidobacteriota	0.0316680386910887	0.027466516795413617
SA1730A-1	Atribacterota	0.07785809837415106	0.027466516795413617
SA1730A-1	Campylobacterota	0.2649593537764972	0.027466516795413617
SA1730A-1	Chloroflexota	0.06269294093434863	0.027466516795413617
SA1730A-1	Nanobdellota	0.01678586128833093	0.027466516795413617
SA1730A-1	Omnitrophota	0.041482300884955754	0.027466516795413617
SA1730A-1	Pseudomonadota	0.4256148384441243	0.027466516795413617
SA1730A-1	Spirochaetota	0.07893856760650339	0.027466516795413617
SA2074A-1	Acidobacteriota	0.002264103477914509	0.009205742535058384
SA2074A-1	Atribacterota	0.003171541776602467	0.009205742535058384
SA2074A-1	Campylobacterota	0.04204763601841231	0.009205742535058384
SA2074A-1	Chloroflexota	0.019116101189852266	0.009205742535058384
SA2074A-1	Nanobdellota	0.016974786392618305	0.009205742535058384
SA2074A-1	Omnitrophota	0.02469549904614159	0.009205742535058384
SA2074A-1	Pseudomonadota	0.8667892556909559	0.009205742535058384
SA2074A-1	Spirochaetota	0.024941076407502687	0.009205742535058384
SA2273A-1	Acidobacteriota	0.0058776313404624424	0.024893774666309477
SA2273A-1	Atribacterota	0.013153465731078947	0.024893774666309477
SA2273A-1	Campylobacterota	0.5295952978949277	0.024893774666309477
SA2273A-1	Chloroflexota	0.018176639652002797	0.024893774666309477
SA2273A-1	Nanobdellota	0.029685922166696875	0.024893774666309477
SA2273A-1	Omnitrophota	0.03516221744646695	0.024893774666309477
SA2273A-1	Pseudomonadota	0.3370705056834365	0.024893774666309477
SA2273A-1	Spirochaetota	0.03127832008492789	0.024893774666309477
SA2600A-1	Acidobacteriota	0.08942447202966307	0.08703369095147104
SA2600A-1	Atribacterota	0.08425493041001665	0.08703369095147104
SA2600A-1	Campylobacterota	0.0745768176688699	0.08703369095147104
SA2600A-1	Chloroflexota	0.06596270621742167	0.08703369095147104
SA2600A-1	Nanobdellota	0.040636251276264176	0.08703369095147104
SA2600A-1	Omnitrophota	0.0778816701596002	0.08703369095147104
SA2600A-1	Pseudomonadota	0.2755333440808211	0.08703369095147104
SA2600A-1	Spirochaetota	0.29172980815734323	0.08703369095147104
