mag	sample	tpm
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.003	VK-3516-a1f_S39	10376.837
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.002	VK-3516-a1f_S39	918172.1
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.002	VK-3516-a1f_S39	71451
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-3_S40_L002.56_sub	VK-3516-a1u_S32	389.69327
MEGAHIT-MaxBin2Refined-VK-3516-a1u_S32_L002.006	VK-3516-a1u_S32	21360.19
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.002	VK-3516-a1u_S32	108318.31
MEGAHIT-MaxBin2Refined-VK-3516-media-gw-oil-b_S38_L002.006_sub	VK-3516-a1u_S32	7472.37
MEGAHIT-MetaBAT2Refined-VK-3516-a1u_S32_L002.5	VK-3516-a1u_S32	36864.715
MEGAHIT-MetaBAT2Refined-VK-3516-methanol-a_S14_L002.1	VK-3516-a1u_S32	8830.888
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	VK-3516-a1u_S32	283505.16
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	VK-3516-a1u_S32	533258.6
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.003	VK-3516-a4f_S18	15071.573
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	VK-3516-a4f_S18	951369.5
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	VK-3516-a4f_S18	33558.855
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.002	VK-3516-a4u_S26	168579.5
MEGAHIT-MetaBAT2Refined-VK-3516-KFM24-2_S21_L002.63_sub	VK-3516-a4u_S26	14308.943
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.005	VK-3516-a4u_S26	8711.813
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-5_S41_L002.16_sub	VK-3516-a4u_S26	609.32446
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	VK-3516-a4u_S26	150405.42
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	VK-3516-a4u_S26	657385.06
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	VK-3516-l1f_S24	1000000
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	VK-3516-l2f_S17	758827
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	VK-3516-l2f_S17	241173.03
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.002	VK-3516-l2u_S25	337474.4
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.003	VK-3516-l2u_S25	385786.38
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	VK-3516-l2u_S25	276739.2
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.002	VK-3516-l3u_S16	793337.94
