genome	domain	phylum	class	order	family	genus	species
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.023	Bacteria	Patescibacteria	ABY1	BM507	GWC2-42-12	JACPHD01	NA
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.026	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	UBA10092	NA
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.001	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Casp-alpha2	UBA1479	NA
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.002	Bacteria	Pseudomonadota	Gammaproteobacteria	JAHJQQ01	JAHJQQ01	JAHJQQ01	NA
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.002	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	Desulfarculaceae	SURF-10	NA
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.003	Bacteria	Bacillota	Bacilli	Izemoplasmatales	UBA5603	4572-104	NA
MEGAHIT-MaxBin2Refined-VK-3516-a1u_S32_L002.006	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	UBA2284	NA
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula	NA
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.002	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	NA
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.003	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	GWF2-38-69	GWF2-38-69	NA
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.002	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	ATCC-39006	ATCC-39006 sp002847015
