IDCODE	START_DATE	STOP_DATE	SAMPLING	CHARGE_B	NA	K	CA	MG	ALK	CL	SO4	SO4_S	BR	F	SI	FE	FETOT	FEII	MN	LI	SR	PH_LAB	PH_FIELD	EC_LAB	EC_FIELD	TEMP_W	TOC	DOC	S2_HS	I	NO2_N	NO3_N	NO2NO3_N	NH4_N	PO4_P	C14_PMC_INORG	C14_PMC_ORG	C13_INORG	C13_ORG	S34_SO4	CL37	CL36_CL35CL37	SR87	D	TR	O18
KR0015	2010/12/07 09:37:00	2010/12/07 13:12:00	FALSE	-0.38	624.0	4.73	256.0	38.20	284.80	1283.0	108.20	42.40	5.960	1.52	8.49	0.6420	0.640	0.630	0.46800	0.1160	4.210	7.47	7.35	451.0	429.0	11.6		10.6	0.136	0.3210	0.0008	-0.0003	0.0010	0.2800	0.0007									-79.6	7.80	-10.20
KR0015	2011/05/24 10:50:00	2011/05/24 11:10:00	FALSE	-1.97	305.0	3.47	106.0	17.50	349.20	487.7	57.17	22.40	1.900	1.31	8.93	0.4450	0.510	0.490	0.27100	0.0636	1.930	7.43	7.28	216.4	162.1	12.5		14.8	0.172	0.1230	0.0008	-0.0003	0.0006	0.2500	0.0018									-74.8	7.70	-10.50
KR0015	2011/11/09 10:00:00	2011/11/09 10:40:00	FALSE	-2.43	477.0	4.68	188.0	28.40	305.60	963.5	92.50	32.40	3.860	1.55	8.30	0.5860	0.630	0.620	0.35800	0.0956	3.300	7.42	7.49	360.5	354.0	10.2		11.7	0.133	0.3060	0.0007	-0.0003	0.0008	0.2900	0.0008					25.2				-68.4	7.00	-10.60
KR0015	2012/05/15 09:10:00	2012/05/15 09:42:00	FALSE	0.12	383.0	4.05	137.0	21.00	324.50	644.0	71.51	28.40	2.960	1.26	8.99	0.5300	0.480	0.490	0.34000	0.0794	2.530	7.44	7.39	267.9	271.0	10.1		14.8	0.144	0.1560	0.0005	-0.0003	0.0007	0.2600	0.0012					25.9				-75.5	7.40	-11.00
KR0015	2012/11/29 10:19:00	2012/11/29 10:49:00	FALSE	-1.94	558.0	4.59	218.0	32.40	290.50	1150.0	93.01	35.80	4.320	1.51	7.89	0.5920	0.620	0.620	0.39700	0.1040	3.730	7.38	7.63	404.0	430.0	10.2		12.4	0.118	0.3050	0.0005	-0.0003	0.0003	0.2900	0.0007					25.7			0.716150	-76.4	5.80	-10.90
KR0015	2013/04/30 09:54:00	2013/04/30 10:10:00	FALSE	-1.73	265.0	3.24	84.2	12.70	341.00	374.0	50.34	20.40	1.750	1.48	8.95	0.3310	0.320	0.320	0.21000	0.0609	1.510	7.55	7.59	196.0	170.0	9.7	16.0	16.2	0.181	-0.1000	-0.0002	-0.0003	-0.0003	0.1300	0.0016					26.8				-75.5	7.20	-11.05
KR0015	2013/11/25 10:45:00	2013/11/25 11:07:00	FALSE	2.35	303.0	3.03	81.5	13.50	341.60	380.0	49.50	19.60	1.880	1.50	7.71	0.3220	0.330	0.320	0.21300	0.0643	1.460	7.58	7.45	184.0	189.0	9.9	15.2	15.0	0.171	0.0958	0.0012	-0.0003	0.0012	0.2000	0.0019	87.70		-14.00		26.7			0.715976	-76.7	7.30	-11.82
KR0015	2014/04/29 09:51:00	2014/04/29 10:22:00	FALSE	-0.75	468.0	4.21	183.0	27.20	299.20	902.0	88.30	31.30	4.380	1.47	7.77	0.5400	0.550	0.550	0.36500	0.1060	3.250	7.46	7.35	340.0	352.0	9.9	13.1	12.9	0.179	0.2670	0.0006	-0.0003	-0.0003	0.2700	0.0012			-13.50		25.6			0.716118	-76.2	6.90	-11.25
KR0015	2014/11/28 07:48:00	2014/11/28 08:18:00	FALSE	0.05	438.0	4.00	162.0	24.80	313.00	786.0	86.00	30.90	3.700	1.43	7.65	0.5180	0.510	0.510	0.33400	0.0907	2.780	7.48	7.37	308.0	316.0	9.9	13.6	13.4	0.135	0.2130	0.0003	-0.0003	0.0003	0.1800	0.0013	84.80		-13.70		24.0			0.716110	-76.3	5.80	-10.48
KR0015	2015/04/29 10:36:00	2015/04/29 11:20:00	FALSE	-0.19	324.0	3.49	103.0	16.10	333.30	486.0	72.20	24.20	3.080	1.42	7.25	0.4060	0.400	0.390	0.22100	0.0620	1.880	7.48	7.49	219.0	228.0	9.9	15.2	15.6	0.133	0.1280	-0.0002	-0.0003	-0.0003	0.2400	0.0018			-13.60		24.8			0.716057	-75.0	7.70	-11.07
KR0015	2015/11/19 08:51:00	2015/11/19 09:10:00	FALSE	0.66	273.0	3.35	103.0	14.70	342.50	394.0	54.20	20.90	1.930	1.44	8.48	0.3990	0.360	0.350	0.24400	0.0577	1.590	7.47	7.44	188.0	188.0	10.1	15.3	14.8	0.160	0.1010	-0.0002	-0.0003	-0.0003	0.2500	0.0021	88.30		-14.00		27.1			0.715958	-73.8	6.10	-10.82
KR0015	2016/05/11 10:23:00	2016/05/11 10:43:00	FALSE	2.60	403.0	3.94	139.0	20.90	317.80	642.0	70.50	25.80	3.110	1.36	7.66	0.4640	0.470	0.440	0.30200	0.0859	2.370	7.46	7.44	261.0	265.0	9.9	14.2	13.7	0.139	0.1720	-0.0002	-0.0003	-0.0003	0.2600	0.0013					25.3			0.716017	-77.6	6.20	-10.82
KR0015	2016/11/30 08:36:00	2016/11/30 09:22:00	FALSE	1.59	341.0	3.31	108.0	15.50	326.80	505.9	60.20	19.90	3.070	1.30	7.33	0.3570	0.360	0.360	0.23900	0.0718	1.800	7.47	7.48	221.0	227.0	10.4	14.7	14.5	0.178	0.1310	-0.0002	-0.0003	-0.0003	0.2300	0.0012	88.30		-13.90		27.7			0.715990	-76.6	7.20	-10.55
KR0015	2017/05/30 08:12:00	2017/05/30 08:50:00	FALSE	0.79	325.0	3.40	112.0	16.10	326.80	502.0	53.90	20.10	2.600	1.34	7.52	0.3510	0.360	0.340	0.24900	0.0739	1.840	7.47	7.40	215.0	214.0	10.3	15.1	14.9	0.209	0.1590	-0.0002	-0.0003	-0.0003	0.2400	0.0011			-13.70		29.1			0.715953	-74.6	6.30	-10.66
KR0015	2017/06/19 08:50:00	2017/06/19 09:18:00	FALSE	2.72	657.0	4.82	247.0	34.70	281.50	1224.0	108.30	39.60	5.700		7.13	0.5270	0.530	0.510	0.35600	0.1310	3.950	7.48	7.38	435.0	458.0	10.6		12.6	0.121															-72.2		-10.42
KR0015	2017/11/06 10:45:00	2017/11/06 11:18:00	FALSE	3.83	372.0	3.89	124.0	19.50	326.90	546.0	57.10	24.00	2.700	1.48	8.32	0.4260	0.390	0.380	0.28000	0.0826	2.030	7.45	7.36	234.0	232.0	10.3	14.2	14.4	0.187	0.1450	-0.0002	-0.0003	-0.0003	0.2600	0.0018	87.90		-14.00		27.5			-0.715836	-76.4	5.00	-10.82
KR0015	2017/11/27 08:21:00	2017/11/27 08:50:00	FALSE	3.87	703.0	5.42	279.0	40.90	273.20	1318.0	113.20	45.40	6.350		7.68	0.5600	0.520	0.530	0.39800	0.1570	4.440	7.49	7.46	462.0	486.0	10.5		11.3	0.114															-75.1		-10.75
KR0015	2018/11/26 09:25:00	2018/11/26 10:16:00	TRUE	0.60	396.0	4.09	139.0	21.20	321.20	663.0	60.30	27.40	3.250	1.43	7.63	0.3860	0.390	0.390	0.30100	0.0866	2.580	7.37	7.61	264.0	269.0	10.0	15.0	15.4	0.482	0.1610	0.0004	-0.0003	0.0005	0.2500	0.0021	87.60	101.10	-14.20	-26.50	27.4	0.00	-1.10E-014	0.716052	-76.3	5.40	-10.46
SA1420	2018/11/07 10:14:00	2018/11/07 11:10:00	FALSE	1.70	1600.0	29.30	271.0	138.00	222.20	2911.0	289.20	100.00	10.300	1.28	6.06	0.7980	0.810	0.810	0.62500	0.1010	4.640	7.45	7.84	946.0	925.0	11.2	6.8	6.9	0.128	0.2220	0.0004	-0.0003	0.0004	1.5600	0.0051	82.90	92.70	-10.70	-27.10	30.9	-0.18	-5.00E-015	0.716065	-57.9	4.70	-7.41
SA1420	2019/11/19 10:14:00	2019/11/19 11:00:00	TRUE	1.86	1620.0	29.80	278.0	140.00	221.00	2940.0	292.00	104.00	10.500	1.20	6.13	0.8300	0.830	0.830	0.61400	0.0991	4.690	7.41	7.46	945.0	927.0	11.3	6.7	7.0	0.110	0.2390	0.0004	-0.0003	0.0005	1.5000	0.0033	82.30	95.40	-10.40	-25.30	31.1	-0.19	-7.00E-003	0.716302	-57.0	5.50	-7.46
SA1420	2020/11/05 10:00:00	2020/11/05 10:49:00	FALSE	2.37	1650.0	31.30	278.0	143.00	217.00	2960.0	314.00	105.00	10.700	1.50	6.12	0.7990	0.810	0.810	0.58900	0.0982	4.680	7.51	7.54	958.0	942.0	11.4	6.7	6.6	0.094	0.1930	-0.0002	-0.0003	-0.0003	1.4800	0.0037	82.20	94.70	-10.60	-26.70	30.0	0.02	5.00E-003	0.715918	-55.3	4.50	-7.45
SA2600	2018/11/20 09:04:00	2018/11/20 10:04:00	FALSE	-0.47	3680.0	14.00	4400.0	33.70	16.40	13230.0	595.80	226.00	98.300	1.73	4.69	0.1850	0.180	0.190	0.31600	3.6500	87.100	7.53	7.62	3404.0	3230.0	13.9	1.2	1.2	-0.019	1.4200				0.0400									73.00	-17.30	-28.60	12.2
SA2600	2019/03/15 08:36:00	2019/03/15 09:30:00	FALSE	2.11	3730.0	14.00	4620.0	32.10	16.60	13000.0	606.00	218.00	96.000	1.70	4.69	-0.4000	0.190	0.190	0.30300	3.4000	90.400	7.50	7.65	3410.0	3220.0	13.3	1.3	1.2	-0.019		-0.0002	-0.0003	-0.0003	0.0400	-0.0005	41.10	73.00	-17.30	-28.60	12.2			73.00	-13.20	-23.70	
SA2600	2019/10/31 08:23:00	2019/10/31 09:22:00	TRUE	0.09	3710.0	16.00	4500.0	32.20	16.20	13300.0	558.00	229.00	87.000	1.70	4.71	0.1820	0.170	0.170	0.28300	3.6700	91.000	7.55	7.61	3420.0	3340.0	13.7	1.2	1.1	-0.019	0.8820				0.0400		38.60	73.00	-13.20	-23.70	12.2			74.60	-13.90	-27.50	12.4
SA2600	2020/11/12 11:19:00	2020/11/12 12:05:00	FALSE	0.08	3730.0	15.20	4760.0	30.80	17.50	13800.0	630.00	223.00	104.000	1.30	4.67	0.1620	0.160	0.160	0.27300	3.8900	98.600	7.48	7.67	3550.0	3520.0	13.7	1.0	1.0	-0.019	1.0700				0.0337		42.90	74.60	-13.90	-27.50	12.4			73.10	-12.70	-25.90	13.1
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
