culture	sample	medium	filter	week	volume_extract	dna_conc	cell_conc
a1u	P21015_1042	acetate	unfiltered	1	95	0.267	1070000
a1f	P21015_1043	acetate	filtered	1	60	0	NA
l1u	P21015_1044	lysate	unfiltered	1	90	0.306	27400
l1f	P21015_1045	lysate	filtered	1	90	0.239	161000
a2u	P21015_1046	acetate	unfiltered	2	90	0.92	80700
a2f	P21015_1047	acetate	filtered	2	90	0	0
l2u	P21015_1048	lysate	unfiltered	2	90	43.7	438000
l2f	P21015_1049	lysate	filtered	2	90	0.264	15800
a3u	P21015_1050	acetate	unfiltered	3	90	1.44	180000
a3f	P21015_1051	acetate	filtered	3	90	0	13000
l3u	P21015_1052	lysate	unfiltered	3	90	60	298000
l3f	P21015_1053	lysate	filtered	3	90	0.192	56200
a4u	P21015_1054	acetate	unfiltered	4	90	3.8	NA
a4f	P21015_1055	acetate	filtered	4	90	0.224	NA
l4u	P21015_1056	lysate	unfiltered	4	60	42.8	67700
l4f	P21015_1057	lysate	filtered	4	90	0.343	NA
a5u	P21015_1058	acetate	unfiltered	5	90	2.01	331000
a5f	P21015_1059	acetate	filtered	5	80	0.054	NA
l5u	P21015_1060	lysate	unfiltered	5	40	37.1	NA
l5f	P21015_1061	lysate	filtered	5	90	0.503	NA
a6u	P21015_1062	acetate	unfiltered	6	90	3.14	NA
a6f	P21015_1063	acetate	filtered	6	90	0.092	NA
l6u	P21015_1064	lysate	unfiltered	6	40	47	7200000
l6f	P21015_1065	lysate	filtered	6	90	0.17	NA
a7u	P21015_1066	acetate	unfiltered	7	90	2.12	418000
a7f	P21015_1067	acetate	filtered	7	90	0.074	NA
l7u	P21015_1068	lysate	unfiltered	7	40	45.6	8100000
l7f	P21015_1069	lysate	filtered	7	90	0.305	NA
a8u	P21015_1070	acetate	unfiltered	8	90	5.58	31700
a8f	P21015_1071	acetate	filtered	8	90	0.149	31700
l8u	P21015_1072	lysate	unfiltered	8	40	39.4	5400000
l8f	P21015_1073	lysate	filtered	8	90	0.493	NA
a9u	P21015_1074	acetate	unfiltered	9	90	3.05	NA
a9f	P21015_1075	acetate	filtered	9	90	0.161	67700
l9u	P21015_1076	lysate	unfiltered	9	40	1.64	7200000
l9f	P21015_1077	lysate	filtered	9	90	0.796	183000
a10u	P21015_1078	acetate	unfiltered	10	80	5.6	565000
a10f	P21015_1079	acetate	filtered	10	90	0.234	0
l10u	P21015_1080	lysate	unfiltered	10	40	35.7	NA
l10f	P21015_1081	lysate	filtered	10	90	7.62	NA
ac1	P21015_1082	acetate	0.1	ctrl	100	0.321	NA
ac2	P21015_1083	acetate	0.1	ctrl	100	0	NA
ac3	P21015_1084	acetate	0.1	ctrl	100	0.0821	NA
ac4	P21015_1085	acetate	unfiltered	ctrl	100	0	NA
ac5	P21015_1086	acetate	unfiltered	ctrl	100	0	NA
lc1	P21015_1087	lysate	0.1	ctrl	100	0.169	NA
lc2	P21015_1088	lysate	0.1	ctrl	100	0.124	NA
lc3	P21015_1089	lysate	0.1	ctrl	100	0.321	NA
lc4	P21015_1090	lysate	unfiltered	ctrl	100	1.23	NA
lc5	P21015_1091	lysate	unfiltered	ctrl	100	1.37	NA
