sample	id	Kreads	groundwater	medium	fraction	age	yield
P26201_1001	cas_SA1229A-1_dec2019	172.29	SA1229A-1	cas	unfiltered	12/2019	1290
P26201_1002	cas_KA2511A-1_feb2020	75.77	KA2511A-1	cas	unfiltered	02/2020	375
P26201_1003	srm_SA1229A-1_dec2019	243.27	SA1229A-1	srm	unfiltered	12/2019	341
P26201_1004	srm_KA2511A-1_feb2020	306.74	KA2511A-1	srm	unfiltered	02/2020	491
P26201_1005	pyr_SA1229A-1_dec2019	278.09	SA1229A-1	pyr	unfiltered	12/2019	9
P26201_1006	pyr_KA2511A-1_feb2020	120.36	KA2511A-1	pyr	unfiltered	02/2020	0
P26201_1007	s3u	182.82	SA1420A-1	srm	unfiltered	10/2021	0
P26201_1008	SA2600A-1_SRM_1	103.41	SA2600A-1	srm	unfiltered	12/2019	0
P26201_1009	l3u	150.79	SA1420A-1	lys	unfiltered	10/2021	377
P26201_1010	s3f	215.45	SA1420A-1	srm	filtered	10/2021	202
P26201_1011	a3u	67.41	SA1420A-1	ace	unfiltered	10/2021	7
P26201_1012	a3f	122.86	SA1420A-1	ace	filtered	10/2021	0
P26201_1013	ana_SA1229A-1_apr2021	127.38	SA1229A-1	ana	unfiltered	12/2019	0
P26201_1014	ana_KA2511A-5_apr2021	143.46	KA2511A-1	ana	unfiltered	02/2020	0
P26201_1015	srm_KA2862A-1	130.18	KA2862A-1	srm	unfiltered	02/2020	96
P26201_1016	ana_SA1229A-1	100.32	SA1229A-1	ana	unfiltered	12/2019	0
P26201_1017	ana_SA1420A-1	3.65	SA1420A-1	ana	unfiltered	02/2020	0
P26201_1018	ana_KA2511A-5	85.71	KA2511A-1	ana	unfiltered	02/2020	0
P26201_1019	chi_SA1420A-1	2.43	SA1420A-1	chi	unfiltered	02/2020	0
P26201_1020	pyr_KA2862A-1	9.29	KA2862A-1	pyr	unfiltered	02/2020	0
P26201_1021	pyr_SA2600A-1	92.02	SA2600A-1	pyr	unfiltered	12/2019	0
P26201_1022	cas_SA2600A-1	176.49	SA2600A-1	cas	unfiltered	12/2019	0
P26201_1023	cas_KA2862A-1	71.15	KA2862A-1	cas	unfiltered	02/2020	0
P26201_1024	a1u	120.67	SA1420A-1	ace	unfiltered	10/2021	615
P26201_1025	a1f	75.9	SA1420A-1	ace	filtered	10/2021	0
P26201_1026	s1u	111.06	SA1420A-1	srm	unfiltered	10/2021	75
P26201_1027	s1f	135.88	SA1420A-1	srm	filtered	10/2021	4
P26201_1028	l1u	169.74	SA1420A-1	lys	unfiltered	10/2021	815
P26201_1029	l1f	88.99	SA1420A-1	lys	filtered	10/2021	0
P26201_1030	SA2600A-1_SRM_2	57.52	SA2600A-1	srm	unfiltered	12/2019	0
