sample	id	groundwater	medium	fraction	yield	age
P26201_1001	cas_SA1229A-1_dec2019	SA1229	cas	unfiltered	1290	12/2019
P26201_1002	cas_KA2511A-1_feb2020	KA2511	cas	unfiltered	375	02/2020
P26201_1003	srm_SA1229A-1_dec2019	SA1229	srm	unfiltered	341	12/2019
P26201_1004	srm_KA2511A-1_feb2020	KA2511	srm	unfiltered	491	02/2020
P26201_1005	pyr_SA1229A-1_dec2019	SA1229	pyr	unfiltered	9	12/2019
P26201_1006	pyr_KA2511A-1_feb2020	KA2511	pyr	unfiltered	0	02/2020
P26201_1007	s3u	SA1420	srm	unfiltered	0	10/2021
P26201_1008	SA2600A-1_SRM_1	SA2600	srm	unfiltered	0	12/2019
P26201_1009	l3u	SA1420	lys	unfiltered	377	10/2021
P26201_1010	s3f	SA1420	srm	filtered	202	10/2021
P26201_1011	a3u	SA1420	ace	unfiltered	89.5	10/2021
P26201_1012	a3f	SA1420	ace	filtered	145	10/2021
P26201_1013	ana_SA1229A-1_apr2021	SA1229	ana	unfiltered	0	12/2019
P26201_1014	ana_KA2511A-5_apr2021	KA2511	ana	unfiltered	0	02/2020
P26201_1015	srm_KA2862A-1	KA2862	srm	unfiltered	96	02/2020
P26201_1016	ana_SA1229A-1	SA1229	ana	unfiltered	0	12/2019
P26201_1017	ana_SA1420A-1	SA1420	ana	unfiltered	0	02/2020
P26201_1018	ana_KA2511A-5	KA2511	ana	unfiltered	0	02/2020
P26201_1019	chi_SA1420A-1	SA1420	chi	unfiltered	0	02/2020
P26201_1020	pyr_KA2862A-1	KA2862	pyr	unfiltered	0	02/2020
P26201_1021	pyr_SA2600A-1	SA2600	pyr	unfiltered	0	12/2019
P26201_1022	cas_SA2600A-1	SA2600	cas	unfiltered	0	12/2019
P26201_1023	cas_KA2862A-1	KA2862	cas	unfiltered	0	02/2020
P26201_1024	a1u	SA1420	ace	unfiltered	615	10/2021
P26201_1025	a1f	SA1420	ace	filtered	258	10/2021
P26201_1026	s1u	SA1420	srm	unfiltered	75	10/2021
P26201_1027	s1f	SA1420	srm	filtered	4	10/2021
P26201_1028	l1u	SA1420	lys	unfiltered	815	10/2021
P26201_1029	l1f	SA1420	lys	filtered	95	10/2021
P26201_1030	SA2600A-1_SRM_2	SA2600	srm	unfiltered	0	12/2019
P26201_1031	SA2600A-1_SRM_3	SA2600	srm	unfiltered	0	12/2019
P26201_1032	a2u	SA1420	ace	unfiltered	65	10/2021
P26201_1033	s2u	SA1420	srm	unfiltered	64	10/2021
P26201_1034	s2f	SA1420	srm	filtered	0	10/2021
P26201_1035	l2u	SA1420	lys	unfiltered	695	10/2021
P26201_1036	l2f	SA1420	lys	filtered	142	10/2021
P26201_1037	KR0015b_wk6	KR0015	lys	unfiltered	372	02/2021
P26201_1038	KR0015b_wk8	KR0015	lys	unfiltered	2355	02/2021
P26201_1039	chi_SA1229A-1	SA1229	chi	unfiltered	66	12/2019
P26201_1040	chi_KA2511	KA2511	chi	unfiltered	0	02/2020
P26201_1041	chi_KA2862	KA2862	chi	unfiltered	2925	02/2020
P26201_1042	sa1420_groundwater	SA1420	t0	unfiltered	141	NA
P26201_1043	kr0015_groundwater	KR0015	t0	unfiltered	77	NA
P26201_1044	SA2600_meth1	SA2600	met	unfiltered	2485	10/2021
P26201_1045	SA2600_meth2	SA2600	met	unfiltered	403	10/2021
P26201_1054	l5u	SA1420	lys	unfiltered	469	10/2021
P26201_1055	l5f	SA1420	lys	filtered	218	10/2021
P26201_1056	s5u	SA1420	srm	unfiltered	0	10/2021
P26201_1057	s5f	SA1420	srm	filtered	61	10/2021
P26201_1058	KR0015b_lys1	KR0015	lys	unfiltered	364	03/2022
P26201_1059	KR0015b_lys2	KR0015	lys	unfiltered	356	03/2022
P26201_1060	KR0015b_lys3	KR0015	lys	unfiltered	448	03/2022
P26201_1061	KR0015b_srm1	KR0015	srm	unfiltered	235	03/2022
P26201_1062	KR0015b_srm2	KR0015	srm	unfiltered	51	03/2022
P26201_1063	KR0015b_srm3	KR0015	srm	unfiltered	217	03/2022
P26201_1064	KR0015b_cas1	KR0015	cas	unfiltered	245	03/2022
P26201_1065	KR0015b_cas2	KR0015	cas	unfiltered	60	03/2022
P26201_1066	KR0015b_cas3	KR0015	cas	unfiltered	360	03/2022
P26201_1067	KR0015b_lysf1	KR0015	lys	filtered	0	03/2022
P26201_1068	KR0015b_lysf2	KR0015	lys	filtered	0	03/2022
P26201_1069	KR0015b_lysf3	KR0015	lys	filtered	157	03/2022
P26201_1070	KA3385_srm1	KA3385	srm	unfiltered	0	03/2022
P26201_1071	KA3385_srm2	KA3385	srm	unfiltered	145	03/2022
P26201_1072	KA3385_srm3	KA3385	srm	unfiltered	0	03/2022
P26201_1073	KA3385_lys1	KA3385	lys	unfiltered	0	03/2022
P26201_1074	KA3385_lys2	KA3385	lys	unfiltered	0	03/2022
P26201_1075	KA3385_lys3	KA3385	lys	unfiltered	0	03/2022
P26201_1076	SA1420_srma	SA1420	srm	unfiltered	0	03/2022
P26201_1077	SA1420_srmb	SA1420	srm	unfiltered	0	03/2022
P26201_1078	SA1420_srmc	SA1420	srm	unfiltered	0	03/2022
P26201_1079	SA1420_lysa	SA1420	lys	unfiltered	326	03/2022
P26201_1080	SA1420_lysb	SA1420	lys	unfiltered	156	03/2022
P26201_1081	SA1420_lysc	SA1420	lys	unfiltered	269	03/2022
P26201_1082	SA1420_lys_filter_a	SA1420	lys	filtered	0	03/2022
P26201_1083	SA1420_lys_filter_b	SA1420	lys	filtered	0	03/2022
P26201_1084	SA1420_lys_filter_c	SA1420	lys	filtered	104	03/2022
P21015_1042	a1u	KR0015	ace	unfiltered	13.350000000000001	1
P21015_1043	a1f	KR0015	ace	filtered	0	1
P21015_1044	l1u	KR0015	lys	unfiltered	15.299999999999999	1
P21015_1045	l1f	KR0015	lys	filtered	11.95	1
P21015_1046	a2u	KR0015	ace	unfiltered	46	2
P21015_1047	a2f	KR0015	ace	filtered	0	2
P21015_1048	l2u	KR0015	lys	unfiltered	2185	2
P21015_1049	l2f	KR0015	lys	filtered	13.200000000000001	2
P21015_1050	a3u	KR0015	ace	unfiltered	72	3
P21015_1051	a3f	KR0015	ace	filtered	0	3
P21015_1052	l3u	KR0015	lys	unfiltered	3000	3
P21015_1053	l3f	KR0015	lys	filtered	9.6	3
P21015_1054	a4u	KR0015	ace	unfiltered	190	4
P21015_1055	a4f	KR0015	ace	filtered	11.200000000000001	4
P21015_1056	l4u	KR0015	lys	unfiltered	2140	4
P21015_1057	l4f	KR0015	lys	filtered	17.150000000000002	4
P21015_1058	a5u	KR0015	ace	unfiltered	100.49999999999999	5
P21015_1059	a5f	KR0015	ace	filtered	2.7	5
P21015_1060	l5u	KR0015	lys	unfiltered	1855	5
P21015_1061	l5f	KR0015	lys	filtered	25.15	5
P21015_1062	a6u	KR0015	ace	unfiltered	157	6
P21015_1063	a6f	KR0015	ace	filtered	4.6	6
P21015_1064	l6u	KR0015	lys	unfiltered	2350	6
P21015_1065	l6f	KR0015	lys	filtered	8.5	6
P21015_1066	a7u	KR0015	ace	unfiltered	106	7
P21015_1067	a7f	KR0015	ace	filtered	3.6999999999999997	7
P21015_1068	l7u	KR0015	lys	unfiltered	2280	7
P21015_1069	l7f	KR0015	lys	filtered	15.25	7
P21015_1070	a8u	KR0015	ace	unfiltered	279	8
P21015_1071	a8f	KR0015	ace	filtered	7.449999999999999	8
P21015_1072	l8u	KR0015	lys	unfiltered	1970	8
P21015_1073	l8f	KR0015	lys	filtered	24.65	8
P21015_1074	a9u	KR0015	ace	unfiltered	152.5	9
P21015_1075	a9f	KR0015	ace	filtered	8.05	9
P21015_1076	l9u	KR0015	lys	unfiltered	82	9
