Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.019_sub	60.59	0.82	Gradient Boost (General Model)	11	0.853	12867	220.72128060263654	1232557	0.28	1593	149	29020	None
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.023	90.71	0.73	Gradient Boost (General Model)	11	0.876	12308	279.1933256616801	829782	0.4	869	103	41482	None
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.026	77.64	1.56	Neural Network (Specific Model)	11	0.911	6710	234.42105263157896	394631	0.4	513	86	14325	None
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.001	99.78	1.1	Gradient Boost (General Model)	11	0.908	454001	322.11660130718957	4067683	0.64	3825	13	969821	None
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.002	100.0	2.81	Neural Network (Specific Model)	11	0.858	74361	293.1035231660232	4239564	0.55	4144	109	260858	None
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.002	100.0	1.84	Gradient Boost (General Model)	11	0.887	91738	316.7678032938993	4612602	0.64	4311	94	273944	None
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.003	72.67	2.35	Gradient Boost (General Model)	11	0.918	2404	241.02770233568714	1445861	0.35	1841	667	13081	None
MEGAHIT-MaxBin2Refined-VK-3516-a1u_S32_L002.006	87.24	3.03	Gradient Boost (General Model)	11	0.911	3681	256.1354118194509	1806565	0.34	2149	595	29471	None
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	100.0	0.98	Neural Network (Specific Model)	11	0.907	171568	338.52939941201174	5323703	0.44	4762	62	492863	None
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.002	100.0	0.49	Neural Network (Specific Model)	11	0.878	113801	325.13847098556954	3614530	0.35	3257	101	278806	None
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.003	93.21	1.12	Gradient Boost (General Model)	11	0.91	25165	329.2013235806339	3110405	0.41	2871	246	102507	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.002	100.0	1.15	Neural Network (Specific Model)	11	0.86	193713	316.17509467587433	4941886	0.49	4489	70	395153	None
