genome	domain	phylum	class	order	family	genus	species	completeness	contamination	completeness_model_used	translation_table_used	coding_density	contig_n50	average_gene_length	genome_size	gc_content	total_coding_sequences	total_contigs	max_contig_length	additional_notes
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.023	Bacteria	Patescibacteria	ABY1	BM507	GWC2-42-12	JACPHD01	NA	90.71	0.73	Gradient Boost (General Model)	11	0.876	12308	279.1933256616801	829782	0.4	869	103	41482	None
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.026	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	UBA10092	NA	77.64	1.56	Neural Network (Specific Model)	11	0.911	6710	234.42105263157896	394631	0.4	513	86	14325	None
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.001	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Casp-alpha2	UBA1479	NA	99.78	1.1	Gradient Boost (General Model)	11	0.908	454001	322.11660130718957	4067683	0.64	3825	13	969821	None
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.002	Bacteria	Pseudomonadota	Gammaproteobacteria	JAHJQQ01	JAHJQQ01	JAHJQQ01	NA	100	2.81	Neural Network (Specific Model)	11	0.858	74361	293.1035231660232	4239564	0.55	4144	109	260858	None
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.002	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	Desulfarculaceae	SURF-10	NA	100	1.84	Gradient Boost (General Model)	11	0.887	91738	316.7678032938993	4612602	0.64	4311	94	273944	None
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.003	Bacteria	Bacillota	Bacilli	Izemoplasmatales	UBA5603	4572-104	NA	72.67	2.35	Gradient Boost (General Model)	11	0.918	2404	241.0277023356871	1445861	0.35	1841	667	13081	None
MEGAHIT-MaxBin2Refined-VK-3516-a1u_S32_L002.006	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	UBA2284	NA	87.24	3.03	Gradient Boost (General Model)	11	0.911	3681	256.1354118194509	1806565	0.34	2149	595	29471	None
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula	NA	100	0.98	Neural Network (Specific Model)	11	0.907	171568	338.52939941201174	5323703	0.44	4762	62	492863	None
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.002	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	NA	100	0.49	Neural Network (Specific Model)	11	0.878	113801	325.13847098556954	3614530	0.35	3257	101	278806	None
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.003	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	GWF2-38-69	GWF2-38-69	NA	93.21	1.12	Gradient Boost (General Model)	11	0.91	25165	329.2013235806339	3110405	0.41	2871	246	102507	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.002	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	ATCC-39006	ATCC-39006 sp002847015	100	1.15	Neural Network (Specific Model)	11	0.86	193713	316.17509467587433	4941886	0.49	4489	70	395153	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.004	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA6680	UBA6680	NA	98.13	0.77	Gradient Boost (General Model)	11	0.879	141136	349.32334672999633	3259253	0.34	2737	86	446219	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.005	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	Limiplasma	NA	89.22	7.47	Gradient Boost (General Model)	11	0.889	4072	272.8675057966214	2774355	0.57	3019	851	18618	None
MEGAHIT-MaxBin2Refined-VK-3516-media-gw-oil-b_S38_L002.006_sub	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	NA	99.57	3.46	Neural Network (Specific Model)	11	0.876	98806	315.52711385248006	4198249	0.43	3891	108	226554	None
MEGAHIT-MaxBin2Refined-VK-3516-s2u_S27_L002.001	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas sp002899765	100	0.03	Neural Network (Specific Model)	11	0.937	519463	318.60025542784166	2389665	0.37	2349	13	962648	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-2_S19_L002.31_sub	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37	JAPLVF01	NA	85.21	3.64	Gradient Boost (General Model)	11	0.949	4664	246.97396768402157	864606	0.41	1114	211	24483	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-5_S41_L002.16_sub	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae	Villigracilis	Villigracilis sp030680795	74.49	3.96	Gradient Boost (General Model)	11	0.897	3027	242.17136414881625	2151130	0.5	2661	745	8818	None
